MDN_APH_B																
																
Subject:	50															
Date: 05/04/2023 11:48:30																
Run: 2																
Buttons: 1/2																
																
stimulus_audio	time_audio	length_audio	stimulus_picture	time_picture	response_time	absolute_response_time	button_response	accuracy	condition	congruency	category	occurence_pic	repeat_pic	repeat_category	ISI	time_ISI
birne_word	266140	1160	Blaubeere	267307	268132	825	1	correct	WPM	incorrect	Fruechte	1	117	4	1200	269656
spargel_incorrect	270956	930	Spargel	271889	272994	1105	1	correct	FPM	incorrect	Gemuese	1	79	14	900	274471
truhe_incorrect	275471	1210	Truhe	276687	277811	1124	1	correct	FPM	incorrect	Moebel	1	91	4	1200	278987
gans_word	280220	1110	Gans	281336	282420	1083	2	correct	WPM	correct	Voegel	1	6	5	900	283735
orange_word	284669	1230	Orange	285901	287064	1162	2	correct	WPM	correct	Fruechte	1	78	3	1200	288184
bueffel_word	289417	1150	Tiger	290583	291488	904	1	correct	WPM	incorrect	Saeugetiere	1	33	29	700	292933
schrank_word	293666	1150	Sessel	294832	295817	984	1	correct	WPM	incorrect	Moebel	1	20	20	900	297182
aprikose_incorrect	298115	1300	Aprikose	299431	300414	983	2	incorrect	FPM	incorrect	Fruechte	1	30		900	301630
ente_correct	302580	1370	Ente	303963	305000	1037	1	incorrect	FPM	correct	Voegel	2		1	700	306096
gans_incorrect	306846	950	Gans	307812	308829	1017	1	correct	FPM	incorrect	Voegel	2		5	700	310361
hose_word	311094	1240	Bluse	312344	313250	906	1	correct	WPM	incorrect	Kleidung	1	103	3	1200	314610
ananas_word	315843	1320	Dattel	317176	317972	796	1	correct	WPM	incorrect	Fruechte	1	20	6	1200	319359
maurerkelle_word	320592	1390	Maurerkelle	321991	323310	1318	2	correct	WPM	correct	Werkzeug	1	98	7	900	324107
schal_incorrect	325057	1360	Schal	326423	327339	916	1	correct	FPM	incorrect	Kleidung	2		10	1200	328573
meise_correct	329889	1190	Meise	331089	332232	1143	2	correct	FPM	correct	Voegel	1	36	8	900	333405
sellerie_correct	334404	970	Sellerie	335387	336659	1272	2	correct	FPM	correct	Gemuese	1	52	3	700	337920
kutsche_word	338653	1210	Faehre	339869	340799	929	1	correct	WPM	incorrect	Fortbewegungsmittel	1	109	14	1200	342169
ananas_correct	343452	1310	Ananas	344768	345947	1178	1	incorrect	FPM	correct	Fruechte	2		8	1200	346967
avocado_incorrect	348267	940	Avocado	349217	350194	977	1	correct	FPM	incorrect	Gemuese	2		2	1200	351783
walze_word	353016	1300	Sichel	354332	355325	993	1	correct	WPM	incorrect	Werkzeug	2		13	3000	356531
kuerbis_word	364562	1300	Radieschen	365879	367159	1280	2	incorrect	WPM	incorrect	Gemuese	1	66	1	1200	368078
zwiebel_word	369311	1250	Zwiebel	370577	371254	677	1	incorrect	WPM	correct	Gemuese	1	42		900	372827
geier_word	373760	1120	Spatz	374893	376058	1165	1	correct	WPM	incorrect	Voegel	1	90	2	700	377275
handschuh_correct	378342	920	Handschuh	379275	380249	973	2	correct	FPM	correct	Kleidung	1	22	6	700	381857
reiher_incorrect	382657	1110	Reiher	383773	385772	1998	2	incorrect	FPM	incorrect	Voegel	1	99		1200	386173
weintraube_correct	387472	1000	Weintraube	388489	389483	993	2	correct	FPM	correct	Fruechte	1	81	2	900	390988
sessel_correct	391988	990	Sessel	392987	393963	975	2	correct	FPM	correct	Moebel	2		20	900	395503
weintraube_word	396437	1460	Kokosnuss	397903	399263	1360	1	correct	WPM	incorrect	Fruechte	1	58	4	1200	399952
wellensittich_incorrect	401252	1020	Wellensittich	402285	403623	1337	1	correct	FPM	incorrect	Voegel	1	50	16	700	404767
bluse_word	405501	1340	Hose	406850	407796	946	1	correct	WPM	incorrect	Kleidung	2		11	700	409016
schiff_word	409766	1040	Traktor	410816	412042	1226	1	correct	WPM	incorrect	Fortbewegungsmittel	1	73	3	700	413282
dattel_correct	414082	1280	Dattel	415364	416814	1449	2	correct	FPM	correct	Fruechte	2		6	700	417597
sichel_word	418330	1210	Walze	419547	420746	1199	1	correct	WPM	incorrect	Werkzeug	1	20	20	700	421846
hubschrauber_incorrect	422596	1180	Hubschrauber	423779	425519	1740	2	incorrect	FPM	incorrect	Fortbewegungsmittel	1	14	14	900	426111
biber_word	427045	1130	Kamel	428177	429123	945	1	correct	WPM	incorrect	Saeugetiere	1	23	2	900	430560
mais_incorrect	431826	1440	Mais	433276	434504	1227	2	incorrect	FPM	incorrect	Gemuese	2		4	700	435342
bueffel_correct	436075	1410	Bueffel	437491	438242	750	2	correct	FPM	correct	Saeugetiere	1	7	2	700	439591
aprikose_word	440324	1440	Aprikose	441774	442669	895	2	correct	WPM	correct	Fruechte	2		11	1200	443840
tiger_correct	445139	1220	Tiger	446372	447845	1472	2	correct	FPM	correct	Saeugetiere	2		3	1200	448655
weisskohl_correct	449955	1080	Weisskohl	451038	452746	1708	1	incorrect	FPM	correct	Gemuese	1	63	10	700	453470
jeans_incorrect	454270	1300	Jeans	455586	457090	1503	2	incorrect	FPM	incorrect	Kleidung	1	54	5	700	457786
baer_correct	458586	940	Baer	459535	461393	1412	2	correct	FPM	correct	Saeugetiere	2			900	462101
eichhoernchen_incorrect	463034	1210	Eichhoernchen	464250	466035	1784	1	correct	FPM	incorrect	Saeugetiere	2		1	1200	466550
tiger_word	467783	1210	Bueffel	468999	470240	1240	1	correct	WPM	incorrect	Saeugetiere	2		14	3000	471298
geier_correct	479346	1380	Geier	480729	481991	1261	2	correct	FPM	correct	Voegel	1	25	6	700	482862
mantel_word	483595	1020	Handschuh	484628	485640	1011	1	correct	WPM	incorrect	Kleidung	2		8	700	487111
sofa_word	487844	1200	Sofa	489060	490281	1221	2	correct	WPM	correct	Moebel	2		8	1200	491359
hubschrauber_word	492592	1300	Hubschrauber	493909	495041	1132	2	correct	WPM	correct	Fortbewegungsmittel	2			900	496108
